time,on/off,note,velocity,channel,param
94.0,off,57,0,2,
94.0,off,62,0,1,
94.0,on,69,127,1,
94.0,on,52,127,2,
94.25,off,50,0,3,
94.25,on,48,127,3,
94.5,off,52,0,2,
94.5,off,48,0,3,
94.5,on,57,127,2,
94.5,on,47,127,3,
94.75,off,47,0,3,
94.75,on,45,127,3,
95.0,off,69,0,1,
95.0,off,45,0,3,
95.0,on,74,127,1,
95.0,on,47,127,3,
95.25,off,57,0,2,
95.25,on,56,127,2,
95.5,off,56,0,2,
95.5,on,54,127,2,
95.75,off,54,0,2,
95.75,on,56,127,2,
96.0,off,47,0,3,
96.0,off,56,0,2,
96.0,on,76,127,0,
96.0,on,57,127,2,
96.0,on,45,127,3,
96.25,off,74,0,1,
96.25,on,73,127,1,
96.5,off,45,0,3,
96.5,off,73,0,1,
96.5,on,71,127,1,
96.75,off,57,0,2,
96.75,off,71,0,1,
96.75,on,73,127,1,
96.75,on,55,127,2,
97.0,off,76,0,0,
97.0,off,73,0,1,
